rssd_id,name,city,zip,state,cname
130635,FIRST COMMERCIAL BANK OF HUNTSVILLE,HUNTSVILLE,35801,AL,FIRST COMMERCIAL BANK OF HUNTSVILLE
154154,"FIRST NATIONAL BANK AND TRUST COMPANY, CHICKASHA, OKLAHOMA, THE",CHICKASHA,73018,OK,FIRST NATIONAL BANK AND TRUST COMPANY CHICKASHA OKLAHOMA
155517,GREAT LAKES BANKERS BANK,WORTHINGTON,43085,OH,GREAT LAKES BANKERS BANK
255136,FRONTIER BANK,LA GRANGE,30240,GA,FRONTIER BANK
327958,OKLAHOMA NATIONAL BANK & TRUST COMPANY OF CHICKASHA,CHICKASHA,73018,OK,OKLAHOMA NATIONAL BANK AND TRUST COMPANY OF CHICKASHA
328450,CHICKASHA BANK & TRUST COMPANY,CHICKASHA,73018,OK,CHICKASHA BANK AND TRUST COMPANY
475774,METRO BANK,ATLANTA,30327,GA,METRO BANK
476070,"GUERNSEY BANK, THE",WORTHINGTON,43085,OH,GUERNSEY BANK
558852,FIRST NATIONAL BANK TORRINGTON,TORRINGTON,82240,WY,FIRST NATIONAL BANK TORRINGTON
561659,PINNACLE BANK - WYOMING,TORRINGTON,82240,WY,PINNACLE BANK  WYOMING
580155,PLATTE VALLEY NATIONAL BANK,TORRINGTON,82240,WY,PLATTE VALLEY NATIONAL BANK
581358,STATE NEBRASKA BANK &TRUST,WAYNE,68787,NE,STATE NEBRASKA BANK ANDTRUST
626370,AMERICAN BANK OF HUNTSVILLE,HUNTSVILLE,35801,AL,AMERICAN BANK OF HUNTSVILLE
664457,FIRST NATIONAL BANK OF WAYNE,WAYNE,68787,NE,FIRST NATIONAL BANK OF WAYNE
740931,GEORGIA BANKERS BANK,ATLANTA,30327,GA,GEORGIA BANKERS BANK
761833,COMMUNITY BANK & TRUST - WEST GEORGIA,LA GRANGE,30240,GA,COMMUNITY BANK AND TRUST  WEST GEORGIA
767974,CF BANK NATIONAL ASSOCIATION,WORTHINGTON,43805,OH,CF BANK NA
884639,COMMERICAL BANK & TRUST COMPANY OF TROUP COUNTY,LA GRANGE,30240,GA,COMMERICAL BANK AND TRUST COMPANY OF TROUP COUNTY
885225,"BANK OF DELMAR, NATIONAL ASSOCIATION, THE",SEAFORD,19973,DE,BANK OF DELMAR NA
895475,"SOUTHBANK, FEDERAL SAVINGS BANK",HUNTSVILLE,35801,AL,SOUTHBANK FEDERAL SAVINGS BANK
969059,FIRST SECURITY BANK - WEST,BEULAH,58523,ND,FIRST SECURITY BANK  WEST
1186983,BANKALABAMA-HUNTSVILLE,HUNTSVILLE,35801,AL,BANKALABAMAHUNTSVILLE
1516348,FARMERS & MERCHANTS STATE BANK OF WAYNE,WAYNE,68787,NE,FARMERS AND MERCHANTS STATE BANK OF WAYNE
1866762,COMMERCE NATIONAL BANK,WORTHINGTON,43085,OH,COMMERCE NATIONAL BANK
2797724,TOWNEBANK,PORTSMOUTH,23703,VA,TOWNEBANK
2992501,CORNERSTONE BANK,ATLANTA,30327,GA,CORNERSTONE BANK
3441480,INSIGHT BANK,WORTHINGTON,43085,OH,INSIGHT BANK
3625048,COLUMBUS FIRST BANK,WORTHINGTON,43085,OH,COLUMBUS FIRST BANK
